PCa_b,trpnmax,Gncx_b,Tref,perm50,nperm,TRPN_n,dr,wfrac,TOT_A,ktm_unblock,ca50,mu,maxI_up,maxTrpn,g_CaL,Tref,perm50,nperm,TRPN_n,dr,wfrac,TOT_A,phi,ca50,mu,CV_ventricles,k_FEC,CV_atria,k_BB,AV_delay,Rsys,Rpulm,Aol,kArt,a_ventricles,bt_ventricles,a_atria,bf_atria,bt_atria,k_peri,p_shift_diastasis,EDP_rv,a_lvrv,Tref_lvrv
0.000153905,0.122142,0.00134024,189.281,0.279325,2.95711,2.13423,0.1459,0.73942,18.0604,0.0222029,0.858999,3.76984,0.00392176,0.0381187,0.166722,88.8328,0.478832,6.74808,1.09152,0.206303,0.329224,16.7504,1.52749,1.14821,9.13909,0.580662,2.93919,0.823678,3.56621,187,2.58392,2.14999,300.963,9.89999,0.861585,4.46299,2.47469,8.58137,3.88153,0.00163149,5.37553,6.18239,1.62971,0.532398
0.000106197,0.0971387,0.00109789,176.706,0.450071,2.93879,2.92249,0.17504,0.288955,35.7541,0.0311112,0.514191,2.78501,0.00544544,0.0845783,0.113755,117.568,0.375332,4.80106,2.31601,0.346312,0.641041,18.7745,1.22902,0.885925,9.03162,0.737182,2.27521,1.02206,3.02024,168,1.19588,3.58365,326.724,6.65582,0.753897,2.47975,1.89164,8.46425,4.20751,0.00143417,8.35279,7.19977,1.38272,0.531629
0.000145554,0.0729482,0.00222879,153.947,0.262872,2.94144,2.15412,0.249029,0.602822,28.7438,0.0244404,0.674413,3.09095,0.00639885,0.0936946,0.115254,103.298,0.434896,6.55926,1.27805,0.332077,0.330835,12.9758,1.34885,0.88408,12.0191,0.427793,8.00072,0.911564,4.48775,137,3.90416,3.19438,330.929,7.98304,1.31572,2.36705,1.97658,5.24655,2.58736,0.000687983,3.74932,7.22186,1.26298,0.811498
9.24E-05,0.0743187,0.00122031,139.411,0.195759,2.94652,2.79466,0.134931,0.633747,25.4347,0.0268644,0.630562,2.06928,0.00688673,0.100451,0.159036,113.764,0.46056,6.58098,1.24475,0.318947,0.591149,32.4736,3.13842,1.11833,6.97035,0.613018,3.37168,0.980311,3.76447,163,1.00166,2.80358,383.15,8.265,1.30341,2.92956,2.47648,7.41331,2.21301,0.00148013,7.2128,3.1114,1.95274,0.887341
0.000116418,0.105088,0.001327,171.098,0.26271,3.03344,2.74316,0.224883,0.503923,32.9004,0.0275101,0.641919,2.48276,0.00796507,0.0862915,0.130293,109.785,0.439908,5.90655,1.15591,0.262259,0.445261,34.0869,3.05025,1.27574,4.80506,0.707546,2.60018,0.967577,3.28313,153,2.29987,1.53538,307.293,7.66398,0.560745,3.09133,1.63551,7.84332,4.14088,0.0011336,8.55608,6.29236,1.18866,0.901884
0.000149348,0.113821,0.00192103,168.918,0.219529,2.25217,2.78715,0.159528,0.692662,20.7513,0.0251718,0.62132,3.82907,0.00555827,0.0918155,0.110186,93.0172,0.198877,2.81272,2.81271,0.206155,0.410606,33.1089,3.12619,0.960206,11.3944,0.625862,3.2257,0.815845,5.61645,192,2.40358,2.12731,352.419,8.73335,0.722942,2.44729,1.55506,6.96055,3.96243,0.000710787,5.99084,3.5203,1.87134,0.631437
0.000142199,0.0953106,0.0015662,163.003,0.372156,2.75177,2.61335,0.267788,0.614936,19.7918,0.0249548,0.579228,3.41793,0.00539482,0.0919924,0.167774,88.9095,0.345848,3.77494,2.67831,0.166344,0.321532,28.477,1.979,1.00271,5.89264,0.657812,2.38456,0.872203,3.0541,145,3.73936,3.52822,475.555,8.62571,1.04361,4.10623,2.46877,7.42519,2.78141,0.00149417,5.76141,3.13316,1.5555,0.814736
0.000127656,0.0774578,0.00192906,170.615,0.252143,2.50302,2.82415,0.209961,0.485509,18.8611,0.0260286,0.497022,2.48772,0.00605672,0.101146,0.180656,106.776,0.499017,5.52374,1.30873,0.338582,0.695757,30.5345,2.60348,1.08513,10.0294,0.608757,3.58495,0.973074,2.96332,128,2.21938,1.5679,327.117,6.29341,1.18954,3.03605,2.08767,7.91474,3.7395,0.00130619,4.90623,5.30555,1.53275,0.695099
0.000144217,0.0907307,0.00193681,158.821,0.301676,2.26433,2.84417,0.175681,0.689929,19.6307,0.0206254,0.518801,4.23875,0.00782303,0.0938199,0.13231,90.2691,0.351942,5.50831,1.54661,0.244359,0.720792,27.1485,1.68013,1.26407,7.49722,0.504351,3.07129,0.882142,5.35983,129,2.99799,1.83924,329.024,8.95184,1.00577,2.16953,1.98205,5.06174,3.87957,0.00183996,5.4889,5.41862,1.28307,0.643766
0.000149625,0.0979071,0.00169402,158.432,0.419001,3.00265,2.70153,0.143175,0.56492,26.7013,0.0222331,0.429766,3.36679,0.00588078,0.094185,0.182843,103.843,0.460431,5.06504,1.6168,0.131636,0.33247,25.3608,2.9884,1.11605,10.5769,0.620579,2.32964,0.908115,5.12259,139,3.46971,3.17496,401.861,8.57402,0.914566,2.77827,1.72622,7.16564,4.17365,0.00147165,5.32812,5.03875,1.46199,0.724917
6.37E-05,0.0951361,0.000980136,144.806,0.290393,2.84199,2.50343,0.165132,0.562036,24.5755,0.0301464,0.471623,3.46208,0.00698004,0.0743492,0.12239,97.5129,0.275399,2.63533,2.82412,0.164843,0.438827,31.299,1.50971,1.23003,4.66785,0.41001,5.01721,0.762187,4.84587,142,1.8743,2.76954,361.611,8.65748,1.36559,3.90558,2.33101,6.50269,2.71803,0.00127419,4.33779,7.7916,1.87297,0.707528
0.000142072,0.0825538,0.00158911,194.08,0.432549,2.41077,2.69546,0.306907,0.597845,26.5012,0.0257107,0.558669,3.71968,0.00642841,0.0936926,0.0933142,83.0128,0.333777,4.60192,2.33811,0.176736,0.279478,24.9215,1.89243,0.714802,7.48647,0.510556,4.34299,0.8335,4.06182,156,1.8595,1.08606,311.911,6.90845,1.36526,4.38093,2.39542,4.49798,4.2075,0.00189945,8.20996,6.02626,1.69244,0.85824
0.000116627,0.0982863,0.0015229,183.437,0.350414,2.19059,2.50905,0.130916,0.522908,18.283,0.0180438,0.619724,2.73372,0.00612631,0.0806305,0.111313,86.0541,0.328995,6.10348,1.74603,0.326617,0.393975,14.4539,1.59335,1.04991,9.90341,0.482963,6.33919,0.950617,3.67572,192,1.25338,1.16127,377.077,9.36343,0.801262,3.01109,2.34654,4.15121,2.18609,0.00101436,3.75834,7.17639,1.59906,0.509871
0.000119756,0.0684959,0.00177241,195.63,0.343993,2.48701,2.36035,0.163433,0.364814,17.482,0.0289124,0.521434,3.12118,0.00681071,0.0690304,0.109627,106.81,0.41147,6.53151,1.25378,0.130547,0.445071,34.5855,1.46066,1.20408,11.4651,0.751663,2.31319,0.896006,4.71412,192,2.79419,2.46574,378.123,9.60634,0.784826,2.15337,1.70374,11.7786,3.30928,0.00114862,3.71176,5.91861,1.13878,0.789432
0.000130697,0.12181,0.00192009,172.029,0.32048,2.84765,2.77217,0.189145,0.465204,25.4408,0.0282729,0.457961,4.46958,0.00604495,0.0808902,0.107126,110.806,0.295272,3.74679,1.91189,0.329736,0.639988,34.5299,2.71441,1.0931,12.2896,0.514785,5.23219,0.846237,5.23961,137,1.24814,2.41052,475.888,6.75781,0.914197,3.72741,2.26906,11.6178,3.11755,0.000677235,4.82167,5.60173,1.4909,0.880859
0.000128239,0.0712352,0.00187366,168.753,0.261555,2.52413,2.91372,0.284508,0.69926,23.8607,0.0223131,0.538672,3.47943,0.00458639,0.0555874,0.11547,94.3925,0.406496,3.71635,1.44564,0.208632,0.713178,16.6128,2.7483,1.04409,10.0781,0.578265,3.87586,0.975495,4.30052,162,2.32431,1.45054,328.131,6.47554,0.848863,1.88146,2.41859,8.07815,3.10788,0.00138828,6.05313,4.30055,1.90369,0.701172
0.000134293,0.0745036,0.00196009,159.039,0.315052,2.99223,2.9024,0.287404,0.658716,21.7119,0.0289086,0.439155,4.4638,0.00479989,0.0485352,0.121992,87.9262,0.468925,3.19477,1.83148,0.190144,0.480353,33.0781,2.37446,0.989742,10.3908,0.595965,3.54385,0.842116,4.33423,105,2.84039,2.10478,340.062,7.10859,0.576756,3.66699,2.10615,9.05946,2.73714,0.00186899,6.55699,6.45266,1.84209,0.510072
0.000120769,0.119126,0.00148436,178.573,0.3431,2.75434,2.78708,0.205941,0.69083,33.9928,0.0225478,0.568535,3.42587,0.00776612,0.0776966,0.137547,81.5608,0.446306,2.56228,2.14514,0.232898,0.410323,28.4473,2.30087,1.21676,13.376,0.743328,1.76235,0.932311,2.29051,185,2.89212,3.21014,428.476,8.55933,0.729294,2.97735,1.75093,11.7045,2.30568,0.00185082,7.84408,4.14827,1.43315,0.83423
7.13E-05,0.0963882,0.00106989,183.2,0.367218,2.38524,2.4768,0.25793,0.526548,23.2281,0.0287989,0.524945,3.98004,0.00713188,0.0918662,0.142871,106.799,0.445355,3.86949,1.64837,0.19838,0.267223,25.5644,3.05016,1.19228,12.5234,0.389718,8.34304,1.00814,3.76328,162,1.2405,2.66253,409.211,9.37975,1.09286,2.57545,1.6528,11.4465,3.96203,0.000867555,7.81071,3.81362,1.41424,0.594503
0.000115302,0.0799319,0.00180205,181.624,0.317602,2.62289,2.5286,0.265863,0.434959,12.7471,0.0261053,0.535773,4.06003,0.00397749,0.053538,0.122339,102.862,0.519439,6.10594,1.17481,0.268256,0.35084,30.2754,2.38334,0.778669,11.8789,0.507578,3.08181,0.880332,3.15234,182,2.20694,1.55744,303.684,8.22063,0.886087,3.80655,1.80724,8.19967,4.25627,0.000850273,4.9573,6.09575,1.04839,0.705635
0.000149479,0.0863922,0.00150313,182.746,0.419728,2.48218,2.62477,0.179259,0.37252,29.4225,0.0308533,0.600128,2.9017,0.00571253,0.098423,0.155274,89.7069,0.478492,3.71717,2.48201,0.349011,0.717067,31.1349,1.58392,0.816212,6.56281,0.770397,1.46088,0.911819,5.38835,176,3.34147,2.30907,330.964,6.09558,0.735061,3.3093,1.51595,6.90964,1.63938,0.00146164,7.9254,7.15811,1.95164,0.583987
0.000125752,0.0925589,0.00136366,189.934,0.234255,2.69761,2.71818,0.197482,0.610743,26.2239,0.0309273,0.680082,1.96369,0.00656106,0.0882787,0.171965,103.518,0.424925,6.89116,1.64778,0.327627,0.470066,34.4932,1.8018,1.23796,5.29953,0.44644,6.89257,0.891866,2.91893,146,2.3683,3.04262,354.761,6.87143,0.858666,1.94289,2.15762,10.6067,3.64749,0.0013628,7.03117,3.81092,1.97098,0.642462
0.000121002,0.0848753,0.00124981,182.755,0.225885,2.4808,2.75893,0.270185,0.31637,19.3714,0.0291438,0.807809,3.72295,0.00414237,0.0579457,0.18091,83.6373,0.432487,4.98776,1.59988,0.24812,0.314021,22.2751,3.22576,1.12574,9.25654,0.433989,7.50268,0.839855,4.43066,118,2.57443,3.49191,400.109,8.41191,1.16288,4.21816,1.70852,10.7558,3.47622,0.00131312,3.01083,3.48797,1.52217,0.886399
0.000123616,0.0752361,0.00162027,170.275,0.25419,2.68666,2.2703,0.224465,0.617025,29.9161,0.0221442,0.643767,3.27706,0.00581515,0.0874872,0.193292,85.697,0.388865,3.16079,2.5775,0.223152,0.572767,20.8034,2.64865,1.27711,9.98017,0.731436,1.54645,0.989627,4.25467,111,2.47975,1.13459,421.627,7.99603,0.526624,3.04575,1.50857,7.303,3.0496,0.00126833,7.33165,6.30555,1.25646,0.857259
0.000144074,0.119932,0.00096815,189.727,0.334917,2.40637,2.70219,0.19045,0.396375,15.207,0.0290592,0.812159,2.99128,0.00316054,0.0470677,0.151444,89.6267,0.459475,5.74124,1.67549,0.265581,0.510475,14.4781,1.51102,0.890358,9.8855,0.387643,6.19834,0.959204,4.40681,195,1.12252,3.49445,355.739,9.88418,0.763963,4.44276,1.66142,4.03117,3.80794,0.00190274,6.25042,3.59171,1.31396,0.700794
9.92E-05,0.101011,0.00150999,159.602,0.268925,2.29634,2.77658,0.170673,0.574232,23.9509,0.0297703,0.521756,2.40507,0.00583705,0.0883125,0.118029,104.786,0.303787,2.86839,2.29277,0.254753,0.462634,13.8598,2.11085,1.09654,11.5327,0.561768,3.14884,0.99944,2.26091,130,2.03894,3.05958,460.892,8.53871,1.19723,2.80208,2.01223,4.69933,2.21024,0.000942959,4.08992,7.64516,1.69578,0.549181
0.000150286,0.0954046,0.00236797,152.699,0.294377,2.90596,2.35614,0.186909,0.589411,14.126,0.0292367,0.526219,1.64395,0.00599302,0.0990885,0.141521,89.993,0.394492,3.26127,2.30314,0.259647,0.48737,34.7,2.59717,0.97077,6.34352,0.429402,7.31557,0.840316,4.55152,174,1.0668,1.88634,334.554,6.48155,0.905537,2.96171,2.47687,9.75316,3.86066,0.000789934,4.44359,6.41465,1.30381,0.930118
0.000137837,0.0818886,0.00161835,183.292,0.214725,2.33696,2.82963,0.18624,0.303751,16.1528,0.0162235,0.68683,4.08545,0.00764446,0.0861483,0.118889,111.331,0.432123,5.33614,1.29199,0.206813,0.746106,20.6931,1.99038,1.2479,7.14833,0.506279,5.08397,0.824913,4.63594,147,3.12641,2.26764,406.099,9.86682,1.26459,1.83749,2.39913,8.5212,3.77318,0.00174952,7.20015,4.41096,1.51824,0.514273
0.000146656,0.0747378,0.00206052,134.249,0.240544,2.79571,2.95371,0.263981,0.61402,21.5185,0.0296326,0.558448,3.61673,0.00471272,0.0709314,0.177504,104.394,0.499282,5.89401,1.09861,0.209579,0.570072,18.4136,2.00564,1.07012,7.61426,0.463169,4.23279,0.847361,3.83813,146,3.90742,1.45939,394.688,6.74266,1.33529,4.20999,2.42615,9.71225,3.67357,0.00130864,7.67398,7.97067,1.20496,0.5687
0.000152535,0.0663527,0.00227009,190.699,0.389324,2.69688,2.88028,0.215806,0.310545,21.0221,0.0153505,0.57551,2.36955,0.00354563,0.0421721,0.146526,86.4032,0.519985,6.0591,1.10118,0.150344,0.62268,16.4202,2.37165,1.00524,4.68887,0.544679,4.03413,0.853234,3.66005,186,2.99558,3.11845,380.409,7.63517,0.833874,4.47534,2.22254,10.4292,3.10945,0.00132442,8.9012,5.58821,1.68539,0.517434
0.000153496,0.0877276,0.00179445,176.137,0.274316,2.27804,2.65367,0.182144,0.437849,26.131,0.0169562,0.658535,2.50706,0.00598621,0.095175,0.167847,97.6671,0.423126,4.90475,1.53443,0.185857,0.683659,15.4623,2.94065,1.16354,10.2659,0.504525,4.37983,0.935691,2.88774,165,1.91592,2.70388,307.529,6.42328,0.970113,1.79341,1.54476,10.9709,3.0773,0.00127122,8.65227,4.63371,1.54629,0.5376
9.98E-05,0.0880006,0.00121491,138.172,0.206329,2.61525,2.40723,0.132433,0.687457,17.7139,0.029827,0.668585,3.22485,0.00581791,0.0744134,0.0939236,97.8019,0.252831,2.70592,2.8281,0.163793,0.560226,22.089,1.98054,0.951792,9.44699,0.72164,1.50544,1.00227,5.58026,142,3.2916,2.65238,442.709,9.99285,1.12748,3.0386,1.92494,7.1696,1.70987,0.00108373,8.49328,3.03087,1.9928,0.974816
9.80E-05,0.0736962,0.00140091,131.616,0.260368,2.88474,2.76818,0.132916,0.555128,33.0906,0.0293511,0.463238,3.29077,0.006092,0.0871378,0.15225,108.941,0.41906,3.13589,2.65719,0.257664,0.383689,30.8729,1.95277,1.08972,12.5849,0.462148,7.13291,0.925631,2.30044,198,3.54008,2.64368,340.397,7.90991,0.541059,2.06382,1.50421,8.27349,2.27175,0.00120715,6.09687,5.36329,1.63431,0.561334
0.000106887,0.0832343,0.00168844,199.5,0.232057,2.15915,2.64705,0.27607,0.489,16.5075,0.0258228,0.635384,3.32927,0.00750762,0.0820801,0.120183,104.354,0.488594,6.27255,1.08282,0.191453,0.595644,21.5789,1.34415,1.06158,8.62305,0.481886,3.32163,0.876593,4.85286,125,2.00978,1.42118,498.343,7.40099,0.914543,4.31996,2.05711,9.75354,1.69768,0.000797596,7.53837,7.51639,1.11198,0.65493
0.000136831,0.0768368,0.00199521,136.352,0.318982,2.65075,2.9531,0.137297,0.419359,28.0805,0.0235684,0.443714,3.23141,0.00630317,0.0803228,0.137605,92.3608,0.452671,4.70182,1.37811,0.276198,0.585389,19.5542,3.03505,1.2556,12.9674,0.676919,2.28357,1.01672,3.82732,136,2.3503,2.37508,339.584,6.912,0.831214,3.11998,1.8172,11.9567,3.49023,0.00197049,6.98166,4.45841,1.75299,0.795893
0.000121738,0.109609,0.00125084,186.472,0.326409,2.88627,2.45782,0.177607,0.450678,24.9459,0.0260382,0.626223,2.15289,0.0066748,0.092658,0.151755,115.439,0.515009,3.42013,1.51359,0.181702,0.52243,31.8451,1.9336,1.14802,12.7147,0.628387,2.58204,0.872204,4.40507,145,2.31667,3.49689,301.482,9.76652,0.608617,2.69219,2.23481,8.55054,2.98451,0.00176428,8.8405,5.89971,1.79642,0.752297
